BatchID,SKU,Phase,Cycle,TS,Rate1,Rate2,Rate3,Rate4,AvgSyrup,AvgPause,AvgDrying,AvgSpeed1,AvgSpeed2,AvgSurupDF,AvgPauseDF,AvgDryingDF,AvgSpeed1DF,AvgSpeed2DF,ActionResult,driam,method_class
03-2024-05-14 02:47,Rb-EXBB,10,6,2024-05-14 12:55:54,0.6582278481012658,0.34177215189873417,0.0,0.0,0.9848225858478724,0.8271092978602615,1.174079777031772,1.0023653566229986,0.9840663339571637,1.05810358726644,0.9442581993974856,0.9798034659914843,0.997387750879371,0.9791795985930065,Good,3,P10B
03-2024-05-14 02:47,Rb-EXBB,11,1,2024-05-14 12:55:54,0.7021276595744681,0.2907801418439716,0.0070921985815602835,0.0,1.0828023238825832,0.9784387017957703,1.0806579239590959,1.0164473684210527,1.0211242392120334,1.0244948749187384,1.0058112281590197,1.0261015429037563,1.015901771336554,1.0205761317299014,Good,3,P11+
03-2024-05-14 02:47,Rb-EXBB,11,2,2024-05-14 12:55:54,0.8201438848920863,0.17985611510791366,0.0,0.0,1.027538989487532,1.0048638311125073,1.072563099460928,1.0220059617745048,1.0138611256731365,0.9975321441775427,1.0048638311125073,0.9918728987766643,1.0220059617745048,1.0138611256731365,Good,3,P11+
03-2024-05-14 02:47,Rb-EXBB,12,1,2024-05-14 12:55:54,0.98125,0.01875,0.0,0.0,1.1354324999050025,0.9676284209423912,1.2359707567022573,1.0003761014399313,0.9730227810322483,1.0065975761446273,0.9676284209423912,1.04379854412171,1.0003761014399313,0.9730227810322483,Good,3,P11+
03-2024-05-14 13:02,Rb-EXBB,10,3,2024-05-14 21:56:06,0.00625,0.9625,0.03125,0.0,0.9049468722880248,0.907851864425758,0.973723460858321,0.9868261696338788,0.9879391314351249,0.9163438847738392,0.8446005029282704,0.9938056711168082,0.9868261696338788,0.9879391314351249,Good,3,P10A
03-2024-05-14 13:02,Rb-EXBB,10,5,2024-05-14 21:56:06,0.15942028985507245,0.8115942028985508,0.028985507246376812,0.0,1.0096383606691668,0.8788210197816113,1.0462541074824605,1.0080128205128205,1.0042797888476025,1.0350936683267216,0.9694274436724212,1.0004208805919503,1.004037558685446,1.0003192488352457,Bad,3,P10B
03-2024-05-14 13:02,Rb-EXBB,10,6,2024-05-14 21:56:06,0.05970149253731343,0.9253731343283582,0.014925373134328358,0.0,0.9848225858478724,0.8271092978602615,1.174079777031772,1.0023653566229986,0.9840663339571637,1.05810358726644,0.9442581993974856,0.9798034659914843,0.997387750879371,0.9791795985930065,Good,3,P10B
03-2024-05-14 13:02,Rb-EXBB,11,1,2024-05-14 21:56:06,0.5763888888888888,0.4236111111111111,0.0,0.0,1.0828023238825832,0.9784387017957703,1.0806579239590959,1.0164473684210527,1.0211242392120334,1.0244948749187384,1.0058112281590197,1.0261015429037563,1.015901771336554,1.0205761317299014,Good,3,P11+
03-2024-05-14 13:02,Rb-EXBB,11,2,2024-05-14 21:56:06,0.7664670658682635,0.23353293413173654,0.0,0.0,1.027538989487532,1.0048638311125073,1.072563099460928,1.0220059617745048,1.0138611256731365,0.9975321441775427,1.0048638311125073,0.9918728987766643,1.0220059617745048,1.0138611256731365,Good,3,P11+
03-2024-05-14 13:02,Rb-EXBB,12,1,2024-05-14 21:56:06,0.9135802469135802,0.06790123456790123,0.018518518518518517,0.0,1.1354324999050025,0.9676284209423912,1.2359707567022573,1.0003761014399313,0.9730227810322483,1.0065975761446273,0.9676284209423912,1.04379854412171,1.0003761014399313,0.9730227810322483,Good,3,P11+
03-2024-05-14 22:02,Rb-EXBB,8,2,2024-05-15 06:31:26,0.0,0.5333333333333333,0.4666666666666667,0.0,0.9990627632403418,0.995371030522514,0.9382655766148259,0.9549271738699052,0.9565682422510617,1.0262487553176722,0.7755464822746889,0.9916342109469685,0.9549271738699052,0.9565682422510617,Bad,3,P8
