from_id,from_name,from_type,to_id,to_name,to_type,relationship
DrumSpeed,DrumSpeed,ProcessParameter,Washedcorner,Washedcorner,Quality,CORRELATED
Temperature,Temperature,ProcessParameter,Washedcorner,Washedcorner,Quality,CORRELATED
Dewpoint,Dewpoint,ProcessParameter,Washedcorner,Washedcorner,Quality,CORRELATED
Flowrate,Flowrate,ProcessParameter,Washedcorner,Washedcorner,Quality,CORRELATED
PreviousHardness,PreviousHardness,Quality,Washedcorner,Washedcorner,Quality,CORRELATED
SyrupConcentration,SyrupConcentration,Quality,Washedcorner,Washedcorner,Quality,CORRELATED
CurrentSyrup,CurrentSyrup,Quality,PreviousSmoothness,PreviousSmoothness,Quality,CORRELATED
CurrentSyrup,CurrentSyrup,Quality,PreviousWashedcorner,PreviousWashedcorner,Quality,CORRELATED
PreviousPelletWeight,PreviousPelletWeight,Quality,PelletWeight,PelletWeight,Measurement,CORRELATED
CurrentWeightIncrement,CurrentWeightIncrement,Quality,PelletWeight,PelletWeight,Measurement,CORRELATED
CycleQtyOfPhase,CycleQtyOfPhase,Quality,PelletWeight,PelletWeight,Measurement,CORRELATED
PhaseTotSyrup,PhaseTotSyrup,ProcessParameter,CycleQtyOfPhase,CycleQtyOfPhase,Quality,CORRELATED
CurrentSyrup,CurrentSyrup,Quality,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
GumCenterQty,GumCenterQty,Quality,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
SyrupSprayUniformity,SyrupSprayUniformity,Quality,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
Pause,Pause,ProcessType,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
Drying,Drying,ProcessType,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
DrumSpeed,DrumSpeed,ProcessParameter,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
Temperature,Temperature,ProcessParameter,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
SyrupConcentration,SyrupConcentration,Quality,CurrentWeightIncrement,CurrentWeightIncrement,Quality,CORRELATED
PreviousPelletWeight,PreviousPelletWeight,Quality,PhaseTotSyrup,PhaseTotSyrup,ProcessParameter,CORRELATED
PreviousPelletWeight,PreviousPelletWeight,Quality,CurrentSyrup,CurrentSyrup,Quality,CORRELATED
PreviousWashedcorner,PreviousWashedcorner,Quality,CurrentSyrup,CurrentSyrup,Quality,CORRELATED
PreviousSmoothness,PreviousSmoothness,Quality,CurrentSyrup,CurrentSyrup,Quality,CORRELATED
Drying,Drying,ProcessType,CurrentSyrup,CurrentSyrup,Quality,CORRELATED
GumCenterTotWeight,GumCenterTotWeight,Quality,GumCenterQty,GumCenterQty,Quality,CORRELATED
GumCenterAverageWeight,GumCenterAverageWeight,Quality,GumCenterQty,GumCenterQty,Quality,CORRELATED
SyrupNozzleSize,SyrupNozzleSize,Quality,SyrupSprayUniformity,SyrupSprayUniformity,Quality,CORRELATED
Temperature,Temperature,ProcessParameter,Drying,Drying,ProcessType,CORRELATED
SyrupConcentration,SyrupConcentration,Quality,Drying,Drying,ProcessType,CORRELATED
ACYLExhaustDamper,ACYLExhaustDamper,ProcessParameter,Diff_Pressure,Diff_Pressure,ProcessParameter,CORRELATED
Powder,Powder,ProcessType,Diff_Pressure,Diff_Pressure,ProcessParameter,CORRELATED
ExhausFanSpeed,ExhausFanSpeed,ProcessParameter,Diff_Pressure,Diff_Pressure,ProcessParameter,CORRELATED
PowderNozzleSize,PowderNozzleSize,ProcessParameter,PowderSprayUniformity,PowderSprayUniformity,ProcessParameter,CORRELATED
GumCenterQty,GumCenterQty,Quality,Texture Analysis,Texture Analysis,Quality,CORRELATED
Sound,Sound,Quality,Hardness,Hardness,Quality,CORRELATED
Texture Analysis,Texture Analysis,Quality,Hardness,Hardness,Quality,CORRELATED
Texture Analysis,Texture Analysis,Quality,Crunchiness,Crunchiness,Measurement,CORRELATED
Sensory Panel,Sensory Panel,Quality,Crunchiness,Crunchiness,Measurement,CORRELATED
Water Activity,Water Activity,Quality,Crunchiness,Crunchiness,Measurement,CORRELATED
Shelf-lifeTesting,Shelf-lifeTesting,Quality,Crunchiness,Crunchiness,Measurement,CORRELATED
CycleTotSyrup,CycleTotSyrup,ProcessParameter,Hardness,Hardness,Quality,CORRELATED
DrumSpeed,DrumSpeed,ProcessParameter,Hardness,Hardness,Quality,CORRELATED
Dewpoint,Dewpoint,ProcessParameter,Hardness,Hardness,Quality,CORRELATED
DryingTime,DryingTime,Quality,Dewpoint,Dewpoint,ProcessParameter,CORRELATED
BondingOfParticles,BondingOfParticles,InputMaterial,Hardness,Hardness,Quality,CORRELATED
ThicknessOfCoating,ThicknessOfCoating,Quality,Hardness,Hardness,Quality,CORRELATED
TypeOfPolyol,TypeOfPolyol,InputMaterial,Hardness,Hardness,Quality,CORRELATED
CompactnessOfCrystals,CompactnessOfCrystals,Quality,Hardness,Hardness,Quality,CORRELATED
SyrupTemperature,SyrupTemperature,Quality,Hardness,Hardness,Quality,CORRELATED
CycleTotSyrup,CycleTotSyrup,ProcessParameter,Hardness,Hardness,Quality,CORRELATED
PowerAmt,PowerAmt,Quality,Hardness,Hardness,Quality,CORRELATED
SyrupViscosity,SyrupViscosity,Quality,Hardness,Hardness,Quality,CORRELATED
DryingTime,DryingTime,Quality,Hardness,Hardness,Quality,CORRELATED
RatioOfPolyol,RatioOfPolyol,InputMaterial,Hardness,Hardness,Quality,CORRELATED
SizeOfPolyol,SizeOfPolyol,InputMaterial,Hardness,Hardness,Quality,CORRELATED
DistributionOfParticles,DistributionOfParticles,InputMaterial,Hardness,Hardness,Quality,CORRELATED
ConcentrationOfParticles,ConcentrationOfParticles,InputMaterial,Hardness,Hardness,Quality,CORRELATED
Humidity,Humidity,Environment,Hardness,Hardness,Quality,CORRELATED
